2026-01-06 23:29:33.121 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:29:54.704 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:30:26.494 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:31:47.408 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:35:15.446 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:53:12.643 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 09:21:05.502 [info] Project system initialization finished. 10 project(s) are loaded, and 0 failed to load.
2026-01-07 09:21:24.929 [info] Project system initialization finished. 11 project(s) are loaded, and 0 failed to load.
2026-01-07 09:25:14.426 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 09:25:57.774 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 09:34:23.643 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 09:36:43.074 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 14:22:53.931 [info] Project system initialization finished. 12 project(s) are loaded, and 0 failed to load.
2026-01-07 14:24:47.811 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 14:25:29.631 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 14:25:34.084 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 14:26:47.926 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 14:27:30.192 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 14:29:47.730 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 15:24:40.019 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 15:24:45.801 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 16:48:53.922 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 19:28:34.742 [info] Project system initialization finished. 11 project(s) are loaded, and 0 failed to load.
2026-01-07 19:30:08.522 [info] Project system initialization finished. 12 project(s) are loaded, and 0 failed to load.
2026-01-07 19:30:38.763 [info] Project system initialization finished. 11 project(s) are loaded, and 0 failed to load.
2026-01-07 22:18:21.915 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 22:19:26.598 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 22:19:27.031 [warning] (/home/dcap/onedev/Creel/src/Creel.ServiceDefaults/Creel.ServiceDefaults.csproj): PackageReference Microsoft.Extensions.Configuration.Abstractions will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 22:19:28.091 [info] Project system initialization finished. 11 project(s) are loaded, and 0 failed to load.
2026-01-07 22:47:58.507 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 22:48:09.892 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 22:48:25.449 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 22:48:33.683 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 22:50:44.566 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 22:50:50.767 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 22:50:55.172 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-08 09:28:06.304 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-08 19:22:36.641 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-08 19:32:13.029 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-08 20:54:19.020 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-08 21:41:12.543 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-08 22:12:29.653 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-08 22:13:04.072 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-08 22:54:30.839 [warning] (/home/dcap/onedev/Creel/src/Creel.ServiceDefaults/Creel.ServiceDefaults.csproj): PackageReference Microsoft.Extensions.Configuration.Abstractions will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-08 22:54:31.959 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-09 23:24:45.094 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-09 23:24:46.134 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-09 23:24:46.819 [warning] (/home/dcap/onedev/Creel/src/Creel.ServiceDefaults/Creel.ServiceDefaults.csproj): PackageReference Microsoft.Extensions.Configuration.Abstractions will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
